place_id,name,status,address,street_number,street_name,neighborhood,city,state,postal_code,country,lat,lng,phone,international_phone,website,google_maps_url,google_maps_direction_url,types,primary_type,vertical,rating,total_reviews,price_level,is_open_now,saturday_hours,sunday_hours,photo_count,editorial_summary,wheelchair_accessible,takeout,delivery,dine_in,curbside_pickup,reservable,good_for_children,good_for_groups,outdoor_seating,live_music,serves_beer,serves_wine,serves_vegan,serves_vegetarian,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,parking_options,payment_options,has_website,website_status,website_is_social_only,website_is_free_builder,website_uses_https,website_redirects_to_social,lead_score,lead_priority,scraped_at
,"Peluquería - La Santa - Care Salon, Asunción.",OPERATIONAL,"Molas Lopez 1832, Asunción 1411, Paraguay",1832,Itapua,Centro,Asunción,Asunción,1411,Paraguay,-25.2631275,-57.57877809999999,0981 300503,+595 981 300503,,https://maps.google.com/?cid=9903712552520099784,"https://www.google.com/maps/dir/?api=1&destination=-25.2631275,-57.57877809999999",beauty_salon|establishment|hair_care|point_of_interest,beauty_salon,Beauty & Wellness,4.9,114,,True,Saturday: 8:00 AM – 8:00 PM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:50:10.947449
,Maison Mint,OPERATIONAL,"Eusebio Lillo Robles esquina, Asunción 001411, Paraguay",esquina,General Eugenio Alejandrino Garay,Canógrafa,Asunción,Asunción,001411,Paraguay,-25.2875312,-57.58162009999999,0981 301077,+595 981 301077,,https://maps.google.com/?cid=18422242574579478255,"https://www.google.com/maps/dir/?api=1&destination=-25.2875312,-57.58162009999999",establishment|hair_care|point_of_interest|spa,establishment,Beauty & Wellness,4.8,112,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:50:11.364218
,LUAN · Centro de Belleza,OPERATIONAL,"Cecilio da Silva Lovera, Asunción 001527, Paraguay",,Cecilio da Silva Lovera,Canógrafa,Asunción,Asunción,001527,Paraguay,-25.2776502,-57.56652090000001,0981 825205,+595 981 825205,https://www.facebook.com/Centro-de-Belleza-Luan-205869782934310/,https://maps.google.com/?cid=10835148977839865471,"https://www.google.com/maps/dir/?api=1&destination=-25.2776502,-57.56652090000001",beauty_salon|establishment|point_of_interest,beauty_salon,Beauty & Wellness,4.7,40,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,75,HIGH,2026-04-14T18:50:11.771506
,Haven Salón de Belleza Carmelitas,OPERATIONAL,"San Rafael 428, Asunción 001529, Paraguay",428,San Rafael,Canógrafa,Asunción,Asunción,001529,Paraguay,-25.2844215,-57.57471579999999,0993 583959,+595 993 583959,https://linktr.ee/havensalondebelleza.py,https://maps.google.com/?cid=2327219734211935480,"https://www.google.com/maps/dir/?api=1&destination=-25.2844215,-57.57471579999999",beauty_salon|establishment|hair_care|point_of_interest,beauty_salon,Beauty & Wellness,4.9,14,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,70,HIGH,2026-04-14T18:50:12.184376
,Peluquería Bellisima,OPERATIONAL,"Juan de Salazar y Espinoza 998, Asunción 001209, Paraguay",998,Juan de Salazar y Espinoza,Tte. Fariña,Asunción,Asunción,001209,Paraguay,-25.2857635,-57.6107763,0981 630011,+595 981 630011,https://www.facebook.com/BELLISIMAPY/?ti=as,https://maps.google.com/?cid=5556758869110777506,"https://www.google.com/maps/dir/?api=1&destination=-25.2857635,-57.6107763",beauty_salon|establishment|point_of_interest,beauty_salon,Beauty & Wellness,4.7,185,,True,Saturday: 12:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,80,HIGH,2026-04-14T18:50:12.601376
,Marie Carol Beauty & Lifestyle,OPERATIONAL,"Edificio Atrium, Dr. Francisco Morra y, Asunción 1807, Paraguay",y,Guido Spano,Canógrafa,Asunción,Paraguay,1807,Paraguay,-25.2932895,-57.5782509,0986 610300,+595 986 610300,https://mariecarol.com.py/,https://maps.google.com/?cid=14723985433615216093,"https://www.google.com/maps/dir/?api=1&destination=-25.2932895,-57.5782509",beauty_salon|establishment|hair_care|point_of_interest,beauty_salon,Beauty & Wellness,4.3,66,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,True,active,False,False,True,False,45,MEDIUM,2026-04-14T18:50:13.004519
,KALOS BEAUTY SALON,OPERATIONAL,"Av. Dr. Felipe Molas López 1258, Asunción 001520, Paraguay",1258,Avenida Doctor Felipe Molas López,Canógrafa,Asunción,Asunción,001520,Paraguay,-25.2700324,-57.57199809999999,0981 256866,+595 981 256866,,https://maps.google.com/?cid=9438248309660979539,"https://www.google.com/maps/dir/?api=1&destination=-25.2700324,-57.57199809999999",establishment|hair_care|point_of_interest,establishment,Beauty & Wellness,4.3,39,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,80,HIGH,2026-04-14T18:50:13.416963
,Madú Beauty Bar - Central,OPERATIONAL,"Santisimo Sacramento casi, Asunción 001534, Paraguay",casi,Doctor Luís Enrique Migone,Sajonia,Asunción,Asunción,001534,Paraguay,-25.2810787,-57.58725009999999,0984 702022,+595 984 702022,,https://maps.google.com/?cid=10374932288787660325,"https://www.google.com/maps/dir/?api=1&destination=-25.2810787,-57.58725009999999",beauty_salon|establishment|point_of_interest,beauty_salon,Beauty & Wellness,4.9,23,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,80,HIGH,2026-04-14T18:50:13.851396
,Luis De Leon Concept,OPERATIONAL,"Gral. Torreani Viera 341 Esq, Asunción 001412, Paraguay",341 Esq,General Torreani Viera,Canógrafa,Asunción,Asunción,001412,Paraguay,-25.294285,-57.584416,(021) 604 817,+595 21 604 817,,https://maps.google.com/?cid=4232814728778314916,"https://www.google.com/maps/dir/?api=1&destination=-25.294285,-57.584416",establishment|hair_care|point_of_interest|store,establishment,Beauty & Wellness,4.9,144,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:50:14.265615
,Cami Landolfi,OPERATIONAL,"Alas Paraguayas 348, Asunción 1863, Paraguay",348,Alas Paraguayas,Canógrafa,Asunción,Asunción,1863,Paraguay,-25.2997481,-57.57402800000001,0981 991925,+595 981 991925,,https://maps.google.com/?cid=2411242998337160021,"https://www.google.com/maps/dir/?api=1&destination=-25.2997481,-57.57402800000001",beauty_salon|establishment|point_of_interest,beauty_salon,Beauty & Wellness,4.7,95,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:50:14.672852
,Ale Nails Beauty Spa,OPERATIONAL,"Asunción 001512, Paraguay",,,Mcal. López,Asunción,Asunción,001512,Paraguay,-25.2524947,-57.57941940000001,0983 499418,+595 983 499418,https://www.instagram.com/_ale.nails__/,https://maps.google.com/?cid=10967735656349644635,"https://www.google.com/maps/dir/?api=1&destination=-25.2524947,-57.57941940000001",establishment|hair_care|point_of_interest|spa,establishment,Beauty & Wellness,5.0,1,,True,Saturday: 9:00 AM – 9:30 PM,Sunday: Closed,8,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,60,HIGH,2026-04-14T18:50:15.058892
,Nails Express by Rossie,OPERATIONAL,"Julio Correa, &, Asunción 001526, Paraguay",,Tte. César Velázquez,Recoleta,Asunción,Asunción,001526,Paraguay,-25.2710918,-57.5642887,0981 288669,+595 981 288669,https://www.facebook.com/nailsexpresspy/,https://maps.google.com/?cid=5567319818744039376,"https://www.google.com/maps/dir/?api=1&destination=-25.2710918,-57.5642887",beauty_salon|establishment|point_of_interest|spa,beauty_salon,Beauty & Wellness,4.3,71,,True,Saturday: 9:00 AM – 8:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,80,HIGH,2026-04-14T18:50:15.463410
