place_id,name,status,address,street_number,street_name,neighborhood,city,state,postal_code,country,lat,lng,phone,international_phone,website,google_maps_url,google_maps_direction_url,types,primary_type,vertical,rating,total_reviews,price_level,is_open_now,saturday_hours,sunday_hours,photo_count,editorial_summary,wheelchair_accessible,takeout,delivery,dine_in,curbside_pickup,reservable,good_for_children,good_for_groups,outdoor_seating,live_music,serves_beer,serves_wine,serves_vegan,serves_vegetarian,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,parking_options,payment_options,has_website,website_status,website_is_social_only,website_is_free_builder,website_uses_https,website_redirects_to_social,lead_score,lead_priority,scraped_at
,Dra. Diana Grossling,OPERATIONAL,"Eusebio Lillo Robles 1750, Asunción 1750, Paraguay",1750,Eusebio Lillo Robles,Canógrafa,Asunción,Asunción,,Paraguay,-25.2903428,-57.5721832,0982 160036,+595 982 160036,,https://maps.google.com/?cid=13262641414008728968,,beauty_salon|establishment|point_of_interest|spa,beauty_salon,Beauty & Wellness,4.8,34,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,80,HIGH,2026-04-14T23:44:52.928750
,RENUVA - Clínica estética y laser,OPERATIONAL,"Eusebio Lillo Robles 1498 esq, Asunción 001411, Paraguay",1498 esq,Eusebio Lillo Robles,Canógrafa,Asunción,Asunción,,Paraguay,-25.2893184,-57.57473409999999,0981 521527,+595 981 521527,,https://maps.google.com/?cid=11547781399002133935,,establishment|health|point_of_interest,establishment,Other,4.8,248,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T23:44:53.351727
,Consultorio Médico y Estético,OPERATIONAL,"Dr. Carlos Centurion 353 casi, Asunción 001232, Paraguay",353 casi,Avenida Médicos del Chaco,Pettirossi,Asunción,Asunción,,Paraguay,-25.3118125,-57.59768589999999,0984 434449,+595 984 434449,http://facebook.com/medicoyestetico,https://maps.google.com/?cid=8505419129905295222,,establishment|health|point_of_interest|spa,establishment,Beauty & Wellness,5.0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,60,HIGH,2026-04-14T23:44:54.121458
,Centro Legrand - Medicina Estética,OPERATIONAL,"Molas Lopez 1232, Asunción 001520, Paraguay",1232,Molas Lopez,Canógrafa,Asunción,Asunción,,Paraguay,-25.2704166,-57.57215069999999,0985 135222,+595 985 135222,,https://maps.google.com/?cid=18425977003918256183,,establishment|health|point_of_interest,establishment,Other,3.7,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-14T23:44:54.888123
,Dra. Roxana Maciel,OPERATIONAL,"Julián Alarcon, Asunción 001528, Paraguay",,Julián Alarcon,Canógrafa,Asunción,Asunción,,Paraguay,-25.2734317,-57.5727096,0984 197669,+595 984 197669,,https://maps.google.com/?cid=6870393465649182615,,doctor|establishment|health|point_of_interest,doctor,Health & Medical,5.0,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,65,HIGH,2026-04-14T23:44:55.653123
,Clínica Maely Sales,OPERATIONAL,"Camilo Recalde 595 Esquina, Asunción 001416, Paraguay",595 Esquina,Doctor Toribio Pacheco,Canógrafa,Asunción,Asunción,,Paraguay,-25.3019008,-57.57637820000001,0991 719767,+595 991 719767,https://www.instagram.com/clinicamaelysales?igsh=cng4czltc3hiYjJr,https://maps.google.com/?cid=12892341147976984087,,establishment|health|point_of_interest,establishment,Other,5.0,9,,,,,0,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,70,HIGH,2026-04-14T23:44:56.043077
,BotoClubPy,OPERATIONAL,"Avenida Molas Lopez 687 casi Prof, Dr. Cirilo Caceres Zorrilla, Asunción 001527, Paraguay",,Doctor Cirilo Caceres Zorrilla,Canógrafa,Asunción,Asunción,,Paraguay,-25.2769434,-57.5653131,0981 242440,+595 981 242440,,https://maps.google.com/?cid=2255612490121089825,,establishment|health|point_of_interest,establishment,Other,5.0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,65,HIGH,2026-04-14T23:44:56.413754
,Beauty & Spa Body Line,OPERATIONAL,"Cedro 1168 casi Pilar Asunción, Cedro 1168, Asunción 1911, Paraguay",1168,Cedro,Lambaré (parte),Asunción,Paraguay,,Paraguay,-25.3221761,-57.5926049,(021) 551 797,+595 21 551 797,https://www.facebook.com/bodylinebeutyspa/,https://maps.google.com/?cid=12614099197585261487,,establishment|point_of_interest|spa,establishment,Beauty & Wellness,4.4,287,,,,,0,,,,,,,,,,,,,,,,,,,,,,True,social_media_only,True,False,False,False,80,HIGH,2026-04-14T23:44:56.832896
,Clinica Dr.T,OPERATIONAL,"Soldado Desconocido 125, Asunción 0000, Paraguay",,,Canógrafa,Asunción,Paraguay,,Paraguay,-25.285341,-57.5828088,(021) 602 490,+595 21 602 490,,https://maps.google.com/?cid=10880549823631431601,,establishment|health|point_of_interest|spa,establishment,Beauty & Wellness,4.8,53,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T23:44:57.237480
,Skin care clinic,OPERATIONAL,"Cruz Del Chaco 648, Asunción 001412, Paraguay",648,Doctor Toribio Pacheco,Canógrafa,Asunción,Asunción,,Paraguay,-25.29892,-57.58178769999999,0981 556200,+595 981 556200,,https://maps.google.com/?cid=10478289311850925924,,establishment|health|point_of_interest|spa|store,establishment,Beauty & Wellness,4.3,11,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-14T23:44:57.621928
,KLINIC Medicina Estética y Oculoplastia,OPERATIONAL,"América 187 casi, Asunción 001207, Paraguay",187 casi,América,Pettirossi,Asunción,Asunción,,Paraguay,-25.2910004,-57.5978927,0971 892298,+595 971 892298,,https://maps.google.com/?cid=16801909369234080492,,establishment|health|point_of_interest,establishment,Other,3.9,14,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-14T23:44:57.998278
