place_id,name,status,address,street_number,street_name,neighborhood,city,state,postal_code,country,lat,lng,phone,international_phone,website,google_maps_url,google_maps_direction_url,types,primary_type,vertical,rating,total_reviews,price_level,is_open_now,saturday_hours,sunday_hours,photo_count,editorial_summary,wheelchair_accessible,takeout,delivery,dine_in,curbside_pickup,reservable,good_for_children,good_for_groups,outdoor_seating,live_music,serves_beer,serves_wine,serves_vegan,serves_vegetarian,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,parking_options,payment_options,has_website,website_status,website_is_social_only,website_is_free_builder,website_uses_https,website_redirects_to_social,lead_score,lead_priority,scraped_at
,"Peluquería - La Santa - Care Salon, Asunción.",OPERATIONAL,"Molas Lopez 1832, Asunción 1411, Paraguay",,,,Asunción,,,,-25.2631275,-57.57877809999999,0981 300503,,,,,beauty_salon|establishment|hair_care|point_of_interest,beauty_salon,,4.9,115,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:25.331943
,Maison Mint,OPERATIONAL,"Eusebio Lillo Robles esquina, Asunción 001411, Paraguay",,,,Asunción,,,,-25.2875312,-57.58162009999999,0981 301077,,,,,establishment|hair_care|point_of_interest|spa,establishment,,4.8,112,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:25.769018
,Obsession Nails & Beauty,OPERATIONAL,"Av. Brasilia 1155, Asunción 001205, Paraguay",,,,Asunción,,,,-25.2773315,-57.5998849,0981 770330,,,,,beauty_salon|establishment|point_of_interest,beauty_salon,,4.2,84,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:26.166449
,Luis De Leon Concept,OPERATIONAL,"Gral. Torreani Viera 341 Esq, Asunción 001412, Paraguay",,,,Asunción,,,,-25.294285,-57.584416,(021) 604 817,,,,,establishment|hair_care|point_of_interest|store,establishment,,4.9,144,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:26.981844
,Cami Landolfi,OPERATIONAL,"Alas Paraguayas 348, Asunción 1863, Paraguay",,,,Asunción,,,,-25.2997481,-57.57402800000001,0981 991925,,,,,beauty_salon|establishment|point_of_interest,beauty_salon,,4.7,95,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:28.559736
,Madú Beauty Bar - Central,OPERATIONAL,"Santisimo Sacramento casi, Asunción 001534, Paraguay",,,,Asunción,,,,-25.2810787,-57.58725009999999,0984 702022,,,,,beauty_salon|establishment|point_of_interest,beauty_salon,,4.9,23,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-15T00:38:30.933857
,"Peluqueria ""solis""",OPERATIONAL,"Asunción 001532, Paraguay",,,,Asunción,,,,-25.2606792,-57.5813442,0985 850376,,,,,establishment|hair_care|point_of_interest,establishment,,5.0,16,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,65,HIGH,2026-04-15T00:38:31.331816
,Adriana,OPERATIONAL,"Dr. Eduardo López Moreira 4780, Asunción 001413, Paraguay",,,,Asunción,,,,-25.2991795,-57.58694449999999,0986 747555,,,,,establishment|point_of_interest,establishment,,4.9,91,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:32.103988
,L´EVEL Femenino / Masculino,OPERATIONAL,"Paseo de la Infanta - Pacheco entre Monseñor Bogarín y Tte. Zotti -, PC27+RW3, Dr. Toribio Pacheco, Asunción 001413, Paraguay",,,,Asunción,,,,-25.2979814,-57.58520249999999,(021) 329 2436,,,,,beauty_salon|establishment|point_of_interest,beauty_salon,,4.7,144,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:32.915802
,Peluquería MMical,OPERATIONAL,"Prócer Juan Manuel Iturbe 106, Asunción 001526, Paraguay",,,,Asunción,,,,-25.2783636,-57.5561992,(021) 606 360,,,,,establishment|hair_care|point_of_interest,establishment,,4.7,177,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:36.689272
,Peluquería y Barberia JOSÉ,OPERATIONAL,"MCP4+3CF, Asunción 001422, Paraguay",,,,Asunción,,,,-25.3148181,-57.59394330000001,0976 545347,,,,,establishment|hair_care|point_of_interest,establishment,,5.0,169,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:37.485650
,Magnolia Peluquería,OPERATIONAL,"Bartolome De Las Casas 206 esq, Asunción 001231, Paraguay",,,,Asunción,,,,-25.3076998,-57.6029685,(021) 558 289,,,,,establishment|hair_care|point_of_interest,establishment,,4.7,216,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:38.292557
,Peluquería barbería Silver,OPERATIONAL,"Julio Correa 297, Asunción 001520, Paraguay",,,,Asunción,,,,-25.2727716,-57.5657876,0981 704966,,,,,establishment|hair_care|health|point_of_interest,establishment,,0.0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,40,MEDIUM,2026-04-15T00:38:40.572188
,Invictus hair studio Barber shop,OPERATIONAL,"Juan S Bogarin, Asunción 001413, Paraguay",,,,Asunción,,,,-25.2979002,-57.5855454,0994 348269,,,,,establishment|hair_care|health|point_of_interest,establishment,,4.9,52,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,75,HIGH,2026-04-15T00:38:46.796752
,Lilio’s Barber Shop,OPERATIONAL,"Tte. José Cáceres Sanabria 2073, Asunción 2073, Paraguay",,,,Asunción,,,,-25.2435732,-57.5465125,0971 231969,,,,,beauty_salon|establishment|hair_care|health|point_of_interest,beauty_salon,,5.0,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-15T00:38:47.961363
