place_id,name,status,address,street_number,street_name,neighborhood,city,state,postal_code,country,lat,lng,phone,international_phone,website,google_maps_url,google_maps_direction_url,types,primary_type,vertical,rating,total_reviews,price_level,is_open_now,saturday_hours,sunday_hours,photo_count,editorial_summary,wheelchair_accessible,takeout,delivery,dine_in,curbside_pickup,reservable,good_for_children,good_for_groups,outdoor_seating,live_music,serves_beer,serves_wine,serves_vegan,serves_vegetarian,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,parking_options,payment_options,has_website,website_status,website_is_social_only,website_is_free_builder,website_uses_https,website_redirects_to_social,lead_score,lead_priority,scraped_at
,Quimfa SA,OPERATIONAL,"PCVH+C4H, Av. Primer Presidente 1736, Asunción 001519, Paraguay",1736,Avenida Primer Presidente,Carmelitas,Asunción,Asunción,001519,Paraguay,-25.2555759,-57.5722836,(021) 289 4000,+595 21 289 4000,http://www.quimfa.com.py/,https://maps.google.com/?cid=8773334304966442674,"https://www.google.com/maps/dir/?api=1&destination=-25.2555759,-57.5722836",establishment|health|point_of_interest,establishment,Other,4.6,50,,False,Saturday: 8:00 – 11:00 AM,Sunday: Closed,10,,True,,,,,,,,,,,,,,,,,,,,True,active,False,False,True,False,45,MEDIUM,2026-04-14T18:06:01.404849
,Copetrol - Botanico,OPERATIONAL,"PCVH+H8J, Av. Primer Presidente, Asunción 001519, Paraguay",,Avenida Primer Presidente,Carmelitas,Asunción,Asunción,001519,Paraguay,-25.25603,-57.5717473,(021) 608 318,+595 21 608 318,,https://maps.google.com/?cid=9386446650165166493,"https://www.google.com/maps/dir/?api=1&destination=-25.25603,-57.5717473",establishment|gas_station|point_of_interest,establishment,Automotive,4.1,459,,True,Saturday: Open 24 hours,Sunday: Open 24 hours,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:06:01.835163
,Tecnoservice S.A.,OPERATIONAL,"Avenida Primer Presidente Nº1729, Avda Sacramento casi, Asunción 001519, Paraguay",casi,Avda Sacramento,Carmelitas,Asunción,Paraguay,001519,Paraguay,-25.255467,-57.5725758,(021) 296 341,+595 21 296 341,,https://maps.google.com/?cid=9690608135389418570,"https://www.google.com/maps/dir/?api=1&destination=-25.255467,-57.5725758",establishment|general_contractor|point_of_interest|store,establishment,Retail & Shopping,4.3,144,,False,Saturday: 8:00 AM – 12:00 PM,Sunday: Closed,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,85,HIGH,2026-04-14T18:06:02.248718
,Federal Agrochemical Co.,OPERATIONAL,"PCWG+83M, Av. Primer Presidente, Asunción 001519, Paraguay",,Avenida Primer Presidente,Carmelitas,Asunción,Asunción,001519,Paraguay,-25.2541637,-57.5748233,,,,https://maps.google.com/?cid=12518527864220184918,"https://www.google.com/maps/dir/?api=1&destination=-25.2541637,-57.5748233",establishment|point_of_interest,establishment,Other,2.0,2,,False,Saturday: Closed,Sunday: Closed,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,45,MEDIUM,2026-04-14T18:06:02.667127
,Lopez Residence,CLOSED_TEMPORARILY,"PCWJ+P3J, Asunción 001510, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.2531732,-57.5698721,,,,https://maps.google.com/?cid=11811089219997633720,"https://www.google.com/maps/dir/?api=1&destination=-25.2531732,-57.5698721",establishment|museum|point_of_interest,establishment,Arts & Culture,4.4,15,,,,,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,65,HIGH,2026-04-14T18:06:03.074336
,Antigua entrada a casa de los López,OPERATIONAL,"PCWJ+G5H, Asunción 001510, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.2536802,-57.56952880000001,,,,https://maps.google.com/?cid=13090299420899787215,"https://www.google.com/maps/dir/?api=1&destination=-25.2536802,-57.56952880000001",establishment|point_of_interest,establishment,Other,5.0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,60,HIGH,2026-04-14T18:06:03.477671
,Rosedal del Jardín Botánico,OPERATIONAL,"PCWH+VHV, Asunción 001510, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.2527569,-57.5710863,,,,https://maps.google.com/?cid=17699152535611361886,"https://www.google.com/maps/dir/?api=1&destination=-25.2527569,-57.5710863",establishment|point_of_interest,establishment,Other,4.7,11,,,,,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-14T18:06:03.883168
,Botanical Garden Pond,OPERATIONAL,"PCXJ+3FW, Asunción 001510, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.2519263,-57.56892629999999,,,,https://maps.google.com/?cid=10566684647502992208,"https://www.google.com/maps/dir/?api=1&destination=-25.2519263,-57.56892629999999",establishment|park|point_of_interest,establishment,Other,4.6,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,70,HIGH,2026-04-14T18:06:04.301248
,Dpto Botánica,OPERATIONAL,"Unnamed Road, PCWM+G3G, Asunción 001510, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.2536899,-57.5673069,,,,https://maps.google.com/?cid=13539939965518349621,"https://www.google.com/maps/dir/?api=1&destination=-25.2536899,-57.5673069",establishment|point_of_interest,establishment,Other,4.0,2,,False,Saturday: 6:00 AM – 12:00 PM,Sunday: Closed,4,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,60,HIGH,2026-04-14T18:06:05.076461
,Acceso Norte - 026,OPERATIONAL,"001510 Asunción, Paraguay",,,Carmelitas,Asunción,Asunción,001510,Paraguay,-25.256016,-57.5694059,,,,https://maps.google.com/?cid=15818132944222120683,"https://www.google.com/maps/dir/?api=1&destination=-25.256016,-57.5694059",establishment|point_of_interest|transit_station,establishment,Transportation,0.0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,False,no_website,False,False,False,False,45,MEDIUM,2026-04-14T18:06:05.459061
