name,category,subcategory,city,neighborhood,address,lat,lng,phone,website,rating,total_reviews,has_website,deep_score,priority,types
Aura Face Lab - Lambaré,Salon de Belleza,General,Lambaré,,"1ero. de Marzo y, Lambaré 2420, Paraguay",-25.3413129,-57.6242945,,,4.4,15,False,69,B,beauty_salon|establishment|point_of_interest|spa
Nilda Estetic,Salon de Belleza,General,Coronel Oviedo,Barrio 12 De Junio,"HH38+W55, Coronel Oviedo 050106, Paraguay",-25.4452375,-56.4345156,0994 341974,,4.0,1,False,69,B,beauty_salon|establishment|point_of_interest
Lube Salón de Belleza,Peluqueria,General,Itauguá,,"Cabo G. Fernández, Itauguá 110604, Paraguay",-25.3906582,-57.3550565,0992 229783,,4.3,3,False,69,B,establishment|hair_care|point_of_interest
Extensiones Vida,Peluqueria,General,Itaugua,,"GJJP+RQH, Itaugua 110516, Paraguay",-25.4679157,-57.36262250000001,0981 858751,,4.0,4,False,69,B,establishment|hair_care|point_of_interest
Beauty Salon Mirella Arianna,Salon de Belleza,General,Ypané,,"GFRW+W57, 2 de mayo, Ypané 111802, Paraguay",-25.457725,-57.50457470000001,0985 436461,,4.3,3,False,69,B,beauty_salon|establishment|point_of_interest
Archy Peluquería y Barbería,Peluqueria,General,Ypané,,"Ypané 2468, Paraguay",-25.451467,-57.5173538,0983 840762,,4.0,4,False,69,B,establishment|hair_care|point_of_interest
Beauty Salon Naiara,Salon de Belleza,General,Pedro Juan Caballero,,"F752+H8M, Pedro Juan Caballero 130107, Paraguay",-22.5410479,-55.7491997,0976 805138,,4.3,4,False,69,B,beauty_salon|establishment|point_of_interest
Peluqueria JAZMIN,Peluqueria,General,Capiatá,,"Ytororo, Capiatá 110217, Paraguay",-25.3567061,-57.44447410000001,0981 874766,https://www.instagram.com/peluqueriajazmin__?igsh=MXJhcDF5Z3EzY2RhMQ==,4.4,14,True,69,B,beauty_salon|establishment|point_of_interest
La Pelu De Olga-Salón De Belleza Y Accesorios,Peluqueria,General,Puerto Iguazú,,"1 de Mayo 195, N3370 Puerto Iguazú, Misiones, Argentina",-25.597164,-54.578599,03757 15-46-5260,,4.0,3,False,69,B,beauty_salon|establishment|point_of_interest
Raquel Unisex,Peluqueria,General,Atyrá,,"22 de Septiembre 726, Atyrá 030402, Paraguay",-25.2820624,-57.1707943,,,4.4,19,False,69,B,establishment|hair_care|point_of_interest
