categoria,rank,nom_neg,messaging,telefono,direccion,dist_km,lat,lng,rating,reviews,score,tipos,zona,google_types
Barberia,1,Portas barber shop,+5950994215627,0994 215627,"Av. Santa Teresa, Fernando de la Mora 110301, Paraguay",2.1,-25.298647,-57.5449081,4.9,162,85.6,establishment|hair_care|health|point_of_interest,,establishment|hair_care|health|point_of_interest
Barberia,2,Arno's Barber Shop,+5950983996086,0983 996086,"Jacarandá, San Lorenzo 111403, Paraguay",1.8,-25.3116452,-57.51708559999999,5.0,24,67.6,establishment|hair_care|health|point_of_interest|store,,establishment|hair_care|health|point_of_interest|store
Gimnasio/Fitness,1,XXG Gym,+595021678171,(021) 678 171,"MFR8+RFF, Fernando de la Mora 110303, Paraguay",1.6,-25.3079257,-57.5338267,4.7,119,92.4,establishment|gym|health|point_of_interest,Fernando Zona Norte,establishment|gym|health|point_of_interest
Gimnasio/Fitness,2,CRONOS ACADEMY,+5950976934789,0976 934789,"MFV8+2FV, Mariscal José Félix Estigarribia, Fernando de la Mora 110303, Paraguay",1.6,-25.3073998,-57.53383909999999,4.9,51,83.5,establishment|gym|health|point_of_interest,Fernando Zona Norte,establishment|gym|health|point_of_interest
Peluqueria,1,Nde Barba,+5950991444268,0991 444268,"entre Libertad, Nicasio Villalba y, Fernando de la Mora 110311, Paraguay",1.7,-25.3104714,-57.53023349999999,4.8,118,92.6,establishment|hair_care|health|point_of_interest,,establishment|hair_care|health|point_of_interest
Peluqueria,2,PELUQUERÍA BARBERSHOP,+5950982992766,0982 992766,"MFPC+67H, Fernando de la Mora 110310, Paraguay",2.0,-25.3144301,-57.52927800000001,4.6,66,70.7,establishment|hair_care|point_of_interest,Fernando Zona Norte,establishment|hair_care|point_of_interest
Uñas/Nails,1,SHINE Nails & Beauty by Celeste Villalba,+5950986693259,0986 693259,"Luis Morinigo, San Lorenzo 111402, Paraguay",1.0,-25.300706,-57.53267109999999,4.9,287,130.7,beauty_salon|doctor|establishment|hair_care|health|point_of_interest,,beauty_salon|doctor|establishment|hair_care|health|point_of_interest
Uñas/Nails,2,Barbye Nails I - San Lorenzo,+5950961336346,0961 336346,"Clemente Romero 302 San Lorenzo, San Lorenzo 2605, Paraguay",1.0,-25.3040811,-57.52878430000001,4.8,92,107.2,beauty_salon|establishment|hair_care|point_of_interest,,beauty_salon|establishment|hair_care|point_of_interest
Tatuajes/Piercing,1,Estudio Medieval tattoo & body piercing,+5950961482854,0961 482854,"Coronel Feliciano Duarte 315 esquina, San Lorenzo 2160, Paraguay",0.8,-25.3018012,-57.5300592,4.6,392,133.2,establishment|point_of_interest|store,,establishment|point_of_interest|store
Tatuajes/Piercing,2,Scott Tatuajes,+5950981575176,0981 575176,"Eugenio A Garay Fdo de la mora zona norte, Fernando de la Mora 1234, Paraguay",2.0,-25.297579,-57.5433778,4.6,82,75.5,establishment|point_of_interest|store,,establishment|point_of_interest|store
Spa/Wellness,1,Nutrifit Spa y Belleza,+5950981953000,0981 953000,"Don Bosco 2221, Fernando de la Mora 110310, Paraguay",2.2,-25.315578,-57.5310569,4.6,233,82.5,establishment|point_of_interest|spa,Fernando Zona Norte,establishment|point_of_interest|spa
Spa/Wellness,2,Hidrobaby Spa Pinedo,+5950993444222,0993 444222,"Av. Mariscal López y, San Lorenzo 111420, Paraguay",3.0,-25.3235601,-57.5188072,5.0,377,68.4,establishment|health|point_of_interest|spa,,establishment|health|point_of_interest|spa
Maquillaje,1,Leticia Carballo Makeup & Store,+5950984904215,0984 904215,"Don Bosco &, Del Carmen, Fernando de la Mora 110310, Paraguay",2.1,-25.3146305,-57.529184,4.6,206,85.5,beauty_salon|establishment|point_of_interest,Fernando Zona Norte,beauty_salon|establishment|point_of_interest
Maquillaje,2,Lele Ferreira - Makeup Studio,+5950985598630,0985 598630,"Coronel Luis Irrazabal casi, Fernando de la Mora 110311, Paraguay",1.9,-25.3136006,-57.5238355,4.8,82,81.2,establishment|hair_care|point_of_interest,,establishment|hair_care|point_of_interest
Estetica/Facial,1,Woman Cosmeticos,+5950985695929,0985 695929,"Mariscal Lopez 2783, Fernando de la Mora 110303, Paraguay",1.6,-25.3085541,-57.5323939,4.8,9,54.3,establishment|point_of_interest|store,,establishment|point_of_interest|store
Estetica/Facial,2,Clau Bellino Estética Facial,+5950981924858,0981 924858,"Mompox 1739, Fernando de la Mora 110312, Paraguay",3.5,-25.3240236,-57.5403141,5.0,21,31.5,beauty_salon|establishment|point_of_interest|spa,Fernando Zona Norte,beauty_salon|establishment|point_of_interest|spa
Salon de Belleza,1,Viviesteticpy,+5950976668289,0976 668289,"San Lorenzo 111405, Paraguay",1.6,-25.308847,-57.5154328,4.7,61,82.1,beauty_salon|establishment|point_of_interest,,beauty_salon|establishment|point_of_interest
Salon de Belleza,2,AVANI cuidados de la belleza,+5950994202928,0994 202928,"Del Carmen &, MFQF+X76, Benza Carrera, Fernando de la Mora 110311, Paraguay",1.5,-25.3100798,-57.5268531,4.7,25,69.7,beauty_salon|establishment|point_of_interest,,beauty_salon|establishment|point_of_interest
